node,degree,weighted_degree,clustering_coefficient,betweenness_centrality,closeness_centrality
Drug_5355,358,309.18371069703,0.8759751138813369,2.1873686895233573e-08,0.24861111111111112
Drug_5357,358,338.5118791058311,0.9302464116783355,2.1873686895233573e-08,0.24861111111111112
Drug_5358,358,337.02062515546254,0.9275575806475226,2.1873686895233573e-08,0.24861111111111112
Drug_5359,12,7.3999999999999995,0.6344739543360141,0.0,0.008002645502645503
Drug_5378,358,338.5118791058311,0.9302464116783357,2.1873686895233573e-08,0.24861111111111112
Drug_5381,3,3.0,1.0,0.0,0.0020833333333333333
Drug_5401,358,337.14684019849136,0.9277788219798814,2.1873686895233573e-08,0.24861111111111112
Drug_5411,2,1.4,0.5428835233189813,0.0,0.002170138888888889
Drug_5430,1,1.0,0.0,0.0,0.0006944444444444445
Drug_5452,358,322.59496392381544,0.901158761355647,2.1873686895233573e-08,0.24861111111111112
Drug_5454,358,331.70843971088595,0.917951964733638,2.1873686895233573e-08,0.24861111111111112
Drug_5467,358,338.5118791058311,0.9302464116783358,2.1873686895233573e-08,0.24861111111111112
Drug_5472,31,23.61583451534367,0.6687805342141497,2.4008784372705806e-05,0.03269927536231884
Drug_5487,358,338.5118791058311,0.9302464116783358,2.1873686895233573e-08,0.24861111111111112
Drug_5508,13,8.25,0.5683744927981634,2.252078346588423e-06,0.008197831978319784
Drug_5523,12,7.2,0.6577665716683206,0.0,0.008333333333333333
Drug_5524,358,314.42192662382274,0.8855926579355649,2.1873686895233573e-08,0.24861111111111112
Drug_5530,0,0.0,0.0,0.0,0.0
Drug_5533,358,313.7068173680585,0.8842354842584371,2.1873686895233573e-08,0.24861111111111112
Drug_5546,10,8.847645879766622,0.8619520816003444,0.0,0.006944444444444444
Drug_5556,9,7.064935064935065,0.7634988297810914,0.0,0.006903594771241829
Drug_5560,26,15.708732057416269,0.6632929407556561,0.0,0.01728927203065134
Drug_5566,358,315.5499075253226,0.8880161946762059,2.1873686895233573e-08,0.24861111111111112
Drug_5572,73,58.172721722721725,0.7069899529024114,5.083102380002764e-06,0.051193820224719105
Drug_5578,10,8.640931259352312,0.8498934444070166,0.0,0.006944444444444444
